car_model,price,year_model,kms,color,fueltype
Renault Logan 1.6 Authentique / Life,$52.000.000,2023,15,Gris,Gasolina
Renault Logan 1.6 Authentique,$32.900.000,2017,78.000,Plateado,Gasolina
Renault Logan 1.6 Privilege / Intens,$41.000.000,2019,48.500,Plateado,Gasolina
Renault Logan 1.6 Dynamique,$21.300.000,2008,141.000,Azul,Gasolina
Renault Logan 1.6 Privilege / Intens,$47.000.000,2019,58.777,Plateado,Gasolina
Renault Logan Expression,$32.900.000,2014,29.800,Blanco,Gasolina
Renault Logan 1.6 Life,$41.900.000,2023,27.000,Blanco,Gasolina
Renault Logan 1.6 Privilege / Intens,$38.900.000,2017,68.000,Plateado,Gasolina
Renault Logan 1.6 Privilege / Intens,$56.990.000,2022,21.000,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,54.445,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,53.311,Gris,Gasolina
Renault Logan 1.6 Expression Fii,$27.800.000,2015,106.000,Plateado,Gasolina
Renault Logan 1.6 Mecánico 2023,$49.900.000,2023,43.700,Blanco,Gasolina
Renault Logan Expression,$29.999.999,2015,90.000,Rojo,Gasolina
Renault Logan 1.6 Life,$42.900.000,2021,40.000,Plateado,Gasolina
Renault Logan Family 2016,$26.999.999,2016,105.000,Gris,Gasolina
Renault Logan 1.4 Expression,$20.000.000,2007,180.000,Blanco,Gasolina
Renault Logan 1.6 Authentique,$34.900.000,2019,56.800,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$37.900.000,2019,66.000,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$37.900.000,2018,85.000,Rojo,Gasolina
Renault Logan 1.6 Life,$40.900.000,2020,68.000,Gris,Gasolina
Renault Logan 1.6 Expression,$34.900.000,2016,63.000,Plateado,Gasolina
Renault Logan 1.6 Dynamique,$37.900.000,2017,66.000,Gris,Gasolina
Renault Logan 1.4 Dynamique,$18.900.000,2006,170.000,Color not found,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,60.055,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,54.849,Gris,Gasolina
Renault Logan 1.6 Authentique,$34.900.000,2017,86.000,Color not found,Gasolina
Renault Logan 1.6 Authentique / Life,$33.900.000,2018,98.500,Plateado,Gasolina
Renault Logan 1.6 Expression,$35.800.000,2018,73.200,Plateado,Gasolina
Renault Logan 1.6 Privilege / Intens,$56.900.000,2022,22.800,Gris,Gasolina
Renault Logan 1.6 Authentique / Life,$39.500.000,2019,71.000,Dorado,Gasolina
"Renault Logan 1,6 AUTHENTIC/LIFE MT",$44.500.000,2023,30.726,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$25.500.000,2012,119.070,Rojo,Gasolina
Renault Logan 1.6 Dynamique Fii,$29.700.000,2013,131.000,Color not found,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,55.065,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,58.962,Gris,Gasolina
